Time,VIX3M/VIX,rsi,atr,macd,bb_high,bb_mid,bb_low,SPY Trailing 7-day Return %,Label
2017-01-25 12:00:00-05:00,1.2639925373134329,74.4236945748327,-0.9144700729670865,0.3210878731757208,5.43861468230505,5.428928101985248,5.4192415216654455,1.2644237145762474,1
2017-02-15 10:00:00-05:00,1.1382252559726962,80.22319178237272,-1.0432399221196849,0.4424983155556076,5.460038251706303,5.4536082948994355,5.447178338092568,2.1051712089447907,1
2017-03-01 11:00:00-05:00,1.2195121951219512,77.08738440924516,-0.8584812404992833,0.237499350576151,5.479180287119754,5.47189315403574,5.464606020951726,1.3887124772428983,0
2017-03-22 11:00:00-04:00,1.199501246882793,34.62210304981005,-0.6846536971514947,-0.6648439836022284,5.4799158364176765,5.467950483275835,5.455985130133994,-1.0218300046446884,1
2017-04-25 15:00:00-04:00,1.1859389454209066,76.01555764540254,-0.8861093538855607,0.5903827310047779,5.4842997540423335,5.471062149661426,5.457824545280519,2.151319447414568,1
2017-06-02 12:00:00-04:00,1.2548028311425683,84.53239010541104,-1.0226798564033268,0.3420888060482661,5.501599747969857,5.49352952066339,5.485459293356923,1.5223359121537414,1
2017-07-27 12:00:00-04:00,1.277599142550911,62.83401337991307,-1.1038617246687503,0.09623640530391397,5.517759239703259,5.515334459270113,5.512909678836967,0.413239881699948,0
2017-08-18 11:00:00-04:00,1.0985221674876846,30.7328172227176,-0.7286396872554071,-0.551952085396185,5.520364627471002,5.50805174218806,5.495738856905119,-0.7466949567488218,1
2017-09-01 11:00:00-04:00,1.3418719211822658,74.69604844351151,-0.9471949534186035,0.4238896694250545,5.5194818007641,5.510723999607083,5.501966198450066,1.3738959764474914,1
2017-10-02 12:00:00-04:00,1.315010570824524,73.33128953545989,-1.0212484856190511,0.27100381220433484,5.53306476777933,5.528254873579227,5.523444979379124,1.0432968179447029,1
2017-10-20 13:00:00-04:00,1.2002022244691606,73.38993481443397,-1.0715405092574175,0.16013302629699966,5.55239052156414,5.548171701233019,5.543952880901898,0.8596325953838898,1
2017-11-28 14:00:00-05:00,1.224086870681145,74.1373689542578,-1.017322731284434,0.29044201913609213,5.571479601996356,5.566610077152004,5.5617405523076515,1.394268009295129,1
2017-12-12 12:00:00-05:00,1.3115789473684212,74.3351087682664,-0.9679953540647452,0.35823686286377016,5.592238802325414,5.585633296726334,5.579027791127253,0.6636000301636342,1
2018-01-04 11:00:00-05:00,1.3388338833883389,77.39633226209982,-0.9373616407691913,0.5120834636062958,5.609158105979319,5.5989708583976325,5.588783610815946,1.6583685845842875,1
2018-01-12 12:00:00-05:00,1.2027695351137488,81.92906193351422,-0.8914503907360862,0.549779034400042,5.629293542230488,5.620717696944096,5.612141851657705,2.08961812964462,1
2018-01-23 12:00:00-05:00,1.1886792452830188,74.78023950287816,-0.7986722151387392,0.6577111789861629,5.6511046663807525,5.641702733990471,5.632300801600189,1.8623481781376559,0
2018-02-02 16:00:00-05:00,0.9895104895104895,21.58124193693141,-0.2755994831910241,-1.0757240707293703,5.655612671153663,5.639908963014392,5.624205254875121,-3.2448377581120975,0
2018-02-05 16:00:00-05:00,0.7537513397642015,8.21149787316777,0.6080210218751959,-2.240331446359859,5.662219090087454,5.626657758011736,5.591096425936017,-7.422203532380154,1
2018-02-07 11:00:00-05:00,0.8948763250883393,48.452378403763255,1.3680534891012437,-1.833678869175941,5.639354496626189,5.602716535150996,5.566078573675804,-3.6059400312633345,0
2018-02-08 12:00:00-05:00,0.8145591465327895,31.37980377119682,1.1641334282034086,-1.537522493742537,5.614560967932319,5.591605616201732,5.568650264471144,-6.547830409772033,0
2018-02-09 10:00:00-05:00,0.8588394977943672,32.4500242366344,1.3115127295125317,-2.0954987612825806,5.616207024960228,5.586826250811322,5.557445476662417,-8.030565677291538,1
2018-02-12 15:00:00-05:00,0.9007293354943274,55.65640916002044,1.2801546187887367,-0.48888830090360513,5.59864604724179,5.571046215969374,5.543446384696958,-3.358845079618409,1
2018-02-15 11:00:00-05:00,0.9858728557013118,67.02356581619135,0.34164251599030415,0.8489220679451235,5.605658296406664,5.591004880601385,5.576351464796105,0.4791086350975006,1
2018-02-26 10:00:00-05:00,1.0410469958358122,66.1943101339673,-0.13912879358780822,0.3514800553128515,5.621234727231576,5.611137121512931,5.601039515794286,1.7499169343227412,0
2018-03-01 11:00:00-05:00,0.9695407685098407,36.4877978066473,0.07692591034933767,-0.4051944821462799,5.6373129517053835,5.621893587974089,5.6064742242427945,-0.8161622076638795,0
2018-03-02 11:00:00-05:00,0.9350921273031826,31.97010904534589,0.3623771934172021,-1.3572972729684312,5.635537432535881,5.609668461386855,5.583799490237829,-1.8116875943587347,1
2018-03-05 14:00:00-05:00,1.0337982832618025,53.716907294016735,0.18788578330048064,-0.41804187807820986,5.613033712422848,5.59898229465694,5.584930876891032,-1.1613091120899914,1
2018-03-09 14:00:00-05:00,1.1247524752475246,75.58072529223911,-0.3398193165425668,0.8791277957410832,5.632098507488979,5.615928017524462,5.599757527559945,3.809808389048664,0
2018-03-19 13:00:00-04:00,0.9430408819476345,19.516646033634444,-0.3834528641920948,-0.8864086128362879,5.631062083827927,5.617706602670552,5.604351121513177,-3.2495776268018335,0
2018-03-23 10:00:00-04:00,0.9442429737080689,25.898306586677283,0.0010540258009173662,-1.3278185900496247,5.619112493309475,5.598963757690255,5.578815022071034,-4.225301030030478,0
2018-03-26 10:00:00-04:00,0.9359584595413241,34.38751256001763,0.40417393492794973,-1.8392703386802765,5.617270700680656,5.586778445528725,5.5562861903767935,-4.829142254084951,0
