Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2021-03-05T21:00:00Z,SPY,373.568304348,-589,Market On Open,Filled,-220031.73126097,Liquidated 
2021-03-08T15:00:00Z,SPY,372.888541908,590,Market,Filled,220004.23972572,Warning: No quote information available at 03/08/2021 10:00:00 America/New_York, order filled using TradeBar data 
2021-03-15T20:00:00Z,SPY,385.580677752,-590,Market On Open,Filled,-227492.59987368,Liquidated 
2021-03-16T14:00:00Z,SPY,385.9681423428,589,Market,Filled,227335.23583991,Warning: No quote information available at 03/16/2021 10:00:00 America/New_York, order filled using TradeBar data 
2021-04-08T18:00:00Z,SPY,397.570032444,-589,Market,Filled,-234168.74910952,Liquidated - Warning: No quote information available at 04/08/2021 14:00:00 America/New_York, order filled using TradeBar data 
2021-04-08T19:00:00Z,SPY,397.949997432,589,Market,Filled,234392.54848745,Warning: No quote information available at 04/08/2021 15:00:00 America/New_York, order filled using TradeBar data 
2021-05-07T14:00:00Z,SPY,410.06990628,-589,Market,Filled,-241531.17479892,Liquidated - Warning: No quote information available at 05/07/2021 10:00:00 America/New_York, order filled using TradeBar data 
2021-05-07T15:00:00Z,SPY,411.316970856,587,Market,Filled,241443.06189247,Warning: No quote information available at 05/07/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-05-12T15:00:00Z,SPY,398.895038556,-587,Market,Filled,-234151.38763237,Liquidated - Warning: No quote information available at 05/12/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-05-12T16:00:00Z,SPY,397.287494376,589,Market,Filled,234002.33418746,Warning: No quote information available at 05/12/2021 12:00:00 America/New_York, order filled using TradeBar data 
2021-05-24T19:00:00Z,SPY,409.251520152,-589,Market,Filled,-241049.14536953,Liquidated - Warning: No quote information available at 05/24/2021 15:00:00 America/New_York, order filled using TradeBar data 
2021-05-24T20:00:00Z,SPY,409.514572836,590,Market On Open,Filled,241613.59797324, 
2021-07-01T19:00:00Z,SPY,420.687416957,-590,Market,Filled,-248205.57600463,Liquidated - Warning: No quote information available at 07/01/2021 15:00:00 America/New_York, order filled using TradeBar data 
2021-07-01T20:00:00Z,SPY,421.938561021,589,Market On Open,Filled,248521.81244137, 
2021-08-11T14:00:00Z,SPY,433.560516428,-589,Market,Filled,-255367.14417609,Liquidated - Warning: No quote information available at 08/11/2021 10:00:00 America/New_York, order filled using TradeBar data 
2021-08-11T15:00:00Z,SPY,433.374799731,587,Market,Filled,254391.0074421,Warning: No quote information available at 08/11/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-10-04T15:00:00Z,SPY,419.721038837,-587,Market,Filled,-246376.24979732,Liquidated - Warning: No quote information available at 10/04/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-10-04T16:00:00Z,SPY,420.08385636,587,Market,Filled,246589.22368332,Warning: No quote information available at 10/04/2021 12:00:00 America/New_York, order filled using TradeBar data 
2021-10-07T15:00:00Z,SPY,432.772663786,-587,Market,Filled,-254037.55364238,Liquidated - Warning: No quote information available at 10/07/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-10-07T16:00:00Z,SPY,432.8069843625,587,Market,Filled,254057.69982079,Warning: No quote information available at 10/07/2021 12:00:00 America/New_York, order filled using TradeBar data 
2021-10-25T16:00:00Z,SPY,446.049823952,-587,Market,Filled,-261831.24665982,Liquidated - Warning: No quote information available at 10/25/2021 12:00:00 America/New_York, order filled using TradeBar data 
