Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2011-08-18T19:00:00Z,SPY,91.422021197,-933,Market,Filled,-85296.745776801,Liquidated - Warning: No quote information available at 08/18/2011 15:00:00 America/New_York, order filled using TradeBar data 
2011-08-18T20:00:00Z,SPY,90.651272621,927,Market On Open,Filled,84033.729719667, 
2011-08-29T17:00:00Z,SPY,96.881490277,-927,Market,Filled,-89809.141486779,Liquidated - Warning: No quote information available at 08/29/2011 13:00:00 America/New_York, order filled using TradeBar data 
2011-08-29T18:00:00Z,SPY,96.889518908,940,Market,Filled,91076.14777352,Warning: No quote information available at 08/29/2011 14:00:00 America/New_York, order filled using TradeBar data 
2011-09-22T14:00:00Z,SPY,90.974846042,-940,Market,Filled,-85516.35527948,Liquidated - Warning: No quote information available at 09/22/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-09-22T15:00:00Z,SPY,91.442914974,935,Market,Filled,85499.12550069,Warning: No quote information available at 09/22/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-27T15:00:00Z,SPY,96.220446142,-935,Market,Filled,-89966.11714277,Liquidated - Warning: No quote information available at 09/27/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-09-27T16:00:00Z,SPY,95.946060906,938,Market,Filled,89997.405129828,Warning: No quote information available at 09/27/2011 12:00:00 America/New_York, order filled using TradeBar data 
2011-10-03T14:00:00Z,SPY,90.539057726,-938,Market,Filled,-84925.636146988,Liquidated - Warning: No quote information available at 10/03/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-10-03T15:00:00Z,SPY,90.724671268,936,Market,Filled,84918.292306848,Warning: No quote information available at 10/03/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-10-10T14:00:00Z,SPY,95.502202436,-936,Market,Filled,-89390.061480096,Liquidated - Warning: No quote information available at 10/10/2011 10:00:00 America/New_York, order filled using TradeBar data 
2011-10-10T15:00:00Z,SPY,95.889569828,932,Market,Filled,89369.079079696,Warning: No quote information available at 10/10/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-10-24T15:00:00Z,SPY,100.804293614,-932,Market,Filled,-93949.601648248,Liquidated - Warning: No quote information available at 10/24/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-10-24T16:00:00Z,SPY,101.167450544,928,Market,Filled,93883.394104832,Warning: No quote information available at 10/24/2011 12:00:00 America/New_York, order filled using TradeBar data 
2011-11-21T16:00:00Z,SPY,95.99448183,-928,Market,Filled,-89082.87913824,Liquidated - Warning: No quote information available at 11/21/2011 11:00:00 America/New_York, order filled using TradeBar data 
2011-11-21T17:00:00Z,SPY,96.147814756,927,Market,Filled,89129.024278812,Warning: No quote information available at 11/21/2011 12:00:00 America/New_York, order filled using TradeBar data 
2011-11-30T21:00:00Z,SPY,100.75587269,-927,Market On Open,Filled,-93400.69398363,Liquidated 
2011-12-01T15:00:00Z,SPY,101.151310236,923,Market,Filled,93362.659347828,Warning: No quote information available at 12/01/2011 10:00:00 America/New_York, order filled using TradeBar data 
2012-01-18T21:00:00Z,SPY,106.58466302,-923,Market On Open,Filled,-98377.64396746,Liquidated 
2012-01-19T15:00:00Z,SPY,106.58466302,923,Market,Filled,98377.64396746,Warning: No quote information available at 01/19/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-02-29T15:00:00Z,SPY,112.147791195,-923,Market,Filled,-103512.41127299,Liquidated - Warning: No quote information available at 02/29/2012 10:00:00 America/New_York, order filled using TradeBar data 
2012-02-29T16:00:00Z,SPY,111.465597375,929,Market,Filled,103551.53996138,Warning: No quote information available at 02/29/2012 11:00:00 America/New_York, order filled using TradeBar data 
2012-05-18T20:00:00Z,SPY,106.154495244,-929,Market On Open,Filled,-98617.526081676,Liquidated 
2012-05-21T14:00:00Z,SPY,106.333948056,927,Market,Filled,98571.569847912,Warning: No quote information available at 05/21/2012 10:00:00 America/New_York, order filled using TradeBar data 
